s1	s6	s0
AHN	2011-01-01	24
AHN	2011-01-02	16
AHN	2011-01-03	16
AHN	2011-01-04	36
AHN	2011-01-05	30
AHN	2011-01-06	12
AHN	2011-01-07	18
AHN	2011-01-08	22
AHN	2011-01-09	36
AHN	2011-01-10	26
AHN	2011-01-11	42
AHN	2011-01-12	32
AHN	2011-01-13	32
AHN	2011-01-14	38
AHN	2011-01-15	20
AHN	2011-01-16	42
AHN	2011-01-17	42
AHN	2011-01-18	36
AHN	2011-01-19	22
AHN	2011-01-20	58
AHN	2011-01-21	30
AHN	2011-01-22	28
AHN	2011-01-23	50
AHN	2011-01-24	40
AHN	2011-01-25	26
AHN	2011-01-26	36
AHN	2011-01-27	38
AHN	2011-01-28	40
AHN	2011-01-29	42
AHN	2011-01-30	22
AHN	2011-01-31	40
AHN	2011-02-01	44
AHN	2011-02-02	24
AHN	2011-02-03	22
AHN	2011-02-04	42
AHN	2011-02-05	44
AHN	2011-02-06	36
AHN	2011-02-07	34
AHN	2011-02-08	26
AHN	2011-02-09	28
AHN	2011-02-10	48
AHN	2011-02-11	38
AHN	2011-02-12	28
AHN	2011-02-13	18
AHN	2011-02-14	34
AHN	2011-02-15	22
AHN	2011-02-16	18
AHN	2011-02-17	38
AHN	2011-02-18	36
AHN	2011-02-19	18
AHN	2011-02-20	18
AHN	2011-02-21	22
AHN	2011-02-22	36
AHN	2011-02-23	18
AHN	2011-02-24	52
AHN	2011-02-25	28
AHN	2011-02-26	10
AHN	2011-02-27	30
AHN	2011-02-28	34
AHN	2011-03-01	38
AHN	2011-03-02	32
AHN	2011-03-03	16
AHN	2011-03-04	18
AHN	2011-03-05	28
AHN	2011-03-06	16
AHN	2011-03-07	44
AHN	2011-03-08	20
AHN	2011-03-09	38
AHN	2011-03-10	34
AHN	2011-03-11	20
AHN	2011-03-12	32
AHN	2011-03-13	20
AHN	2011-03-14	36
AHN	2011-03-15	22
AHN	2011-03-16	26
AHN	2011-03-17	20
AHN	2011-03-18	32
AHN	2011-03-19	36
AHN	2011-03-20	30
AHN	2011-03-21	30
AHN	2011-03-22	28
AHN	2011-03-23	24
AHN	2011-03-24	36
AHN	2011-03-25	28
AHN	2011-03-26	30
AHN	2011-03-27	26
AHN	2011-03-28	24
AHN	2011-03-29	24
AHN	2011-03-30	38
AHN	2011-03-31	32
AHN	2011-04-01	54
AHN	2011-04-02	26
AHN	2011-04-03	48
AHN	2011-04-04	34
AHN	2011-04-05	18
AHN	2011-04-06	30
AHN	2011-04-07	24
AHN	2011-04-08	28
AHN	2011-04-09	28
AHN	2011-04-10	26
AHN	2011-04-11	42
AHN	2011-04-12	28
AHN	2011-04-13	26
AHN	2011-04-14	22
AHN	2011-04-15	32
AHN	2011-04-16	16
AHN	2011-04-17	28
AHN	2011-04-18	28
AHN	2011-04-19	14
AHN	2011-04-20	28
AHN	2011-04-21	16
AHN	2011-04-22	18
AHN	2011-04-23	38
AHN	2011-04-24	26
AHN	2011-04-25	30
AHN	2011-04-26	42
AHN	2011-04-27	26
AHN	2011-04-28	40
AHN	2011-04-29	18
AHN	2011-04-30	20
