s1	s6	s0
AHN	2011-01-01	570
AHN	2011-01-02	728
AHN	2011-01-03	754
AHN	2011-01-04	604
AHN	2011-01-05	650
AHN	2011-01-06	612
AHN	2011-01-07	614
AHN	2011-01-08	560
AHN	2011-01-09	662
AHN	2011-01-10	714
AHN	2011-01-11	592
AHN	2011-01-12	532
AHN	2011-01-13	614
AHN	2011-01-14	738
AHN	2011-01-15	638
AHN	2011-01-16	700
AHN	2011-01-17	802
AHN	2011-01-18	724
AHN	2011-01-19	762
AHN	2011-01-20	836
AHN	2011-01-21	716
AHN	2011-01-22	728
AHN	2011-01-23	790
AHN	2011-01-24	832
AHN	2011-01-25	770
AHN	2011-01-26	776
AHN	2011-01-27	912
AHN	2011-01-28	806
AHN	2011-01-29	726
AHN	2011-01-30	750
AHN	2011-01-31	708
AHN	2011-02-01	686
AHN	2011-02-02	620
AHN	2011-02-03	652
AHN	2011-02-04	990
AHN	2011-02-05	904
AHN	2011-02-06	800
AHN	2011-02-07	746
AHN	2011-02-08	718
AHN	2011-02-09	684
AHN	2011-02-10	752
AHN	2011-02-11	720
AHN	2011-02-12	576
AHN	2011-02-13	556
AHN	2011-02-14	684
AHN	2011-02-15	578
AHN	2011-02-16	654
AHN	2011-02-17	548
AHN	2011-02-18	630
AHN	2011-02-19	534
AHN	2011-02-20	586
AHN	2011-02-21	718
AHN	2011-02-22	636
AHN	2011-02-23	658
AHN	2011-02-24	706
AHN	2011-02-25	670
AHN	2011-02-26	646
AHN	2011-02-27	678
AHN	2011-02-28	760
AHN	2011-03-01	730
AHN	2011-03-02	684
AHN	2011-03-03	686
AHN	2011-03-04	668
AHN	2011-03-05	550
AHN	2011-03-06	624
AHN	2011-03-07	788
AHN	2011-03-08	654
AHN	2011-03-09	628
AHN	2011-03-10	632
AHN	2011-03-11	646
AHN	2011-03-12	642
AHN	2011-03-13	646
AHN	2011-03-14	764
AHN	2011-03-15	718
AHN	2011-03-16	644
AHN	2011-03-17	752
AHN	2011-03-18	602
AHN	2011-03-19	560
AHN	2011-03-20	602
AHN	2011-03-21	736
AHN	2011-03-22	670
AHN	2011-03-23	658
AHN	2011-03-24	550
AHN	2011-03-25	606
AHN	2011-03-26	610
AHN	2011-03-27	582
AHN	2011-03-28	778
AHN	2011-03-29	652
AHN	2011-03-30	656
AHN	2011-03-31	700
AHN	2011-04-01	678
AHN	2011-04-02	616
AHN	2011-04-03	634
AHN	2011-04-04	772
AHN	2011-04-05	678
AHN	2011-04-06	724
AHN	2011-04-07	692
AHN	2011-04-08	670
AHN	2011-04-09	644
AHN	2011-04-10	676
AHN	2011-04-11	822
AHN	2011-04-12	714
AHN	2011-04-13	726
AHN	2011-04-14	736
AHN	2011-04-15	692
AHN	2011-04-16	646
AHN	2011-04-17	604
AHN	2011-04-18	732
AHN	2011-04-19	764
AHN	2011-04-20	646
AHN	2011-04-21	680
AHN	2011-04-22	684
AHN	2011-04-23	650
AHN	2011-04-24	682
AHN	2011-04-25	750
AHN	2011-04-26	690
AHN	2011-04-27	748
AHN	2011-04-28	614
AHN	2011-04-29	604
AHN	2011-04-30	640
AHN	2011-05-01	654
AHN	2011-05-02	702
AHN	2011-05-03	666
AHN	2011-05-04	656
AHN	2011-05-05	644
AHN	2011-05-06	614
AHN	2011-05-07	514
AHN	2011-05-08	636
AHN	2011-05-09	698
AHN	2011-05-10	680
AHN	2011-05-11	740
AHN	2011-05-12	626
AHN	2011-05-13	628
AHN	2011-05-14	590
AHN	2011-05-15	612
AHN	2011-05-16	696
AHN	2011-05-17	636
AHN	2011-05-18	566
AHN	2011-05-19	612
AHN	2011-05-20	640
AHN	2011-05-21	540
AHN	2011-05-22	552
AHN	2011-05-23	738
AHN	2011-05-24	644
AHN	2011-05-25	588
AHN	2011-05-26	674
AHN	2011-05-27	628
AHN	2011-05-28	606
AHN	2011-05-29	644
AHN	2011-05-30	686
AHN	2011-05-31	684
AHN	2011-06-01	636
AHN	2011-06-02	684
AHN	2011-06-03	640
AHN	2011-06-04	624
AHN	2011-06-05	614
AHN	2011-06-06	702
AHN	2011-06-07	746
AHN	2011-06-08	638
AHN	2011-06-09	678
AHN	2011-06-10	702
AHN	2011-06-11	594
AHN	2011-06-12	682
AHN	2011-06-13	684
AHN	2011-06-14	726
AHN	2011-06-15	648
AHN	2011-06-16	576
AHN	2011-06-17	584
AHN	2011-06-18	680
AHN	2011-06-19	658
AHN	2011-06-20	740
AHN	2011-06-21	670
AHN	2011-06-22	590
AHN	2011-06-23	710
AHN	2011-06-24	682
AHN	2011-06-25	680
AHN	2011-06-26	684
AHN	2011-06-27	800
AHN	2011-06-28	638
AHN	2011-06-29	640
AHN	2011-06-30	690
AHN	2011-07-01	620
AHN	2011-07-02	654
AHN	2011-07-03	712
AHN	2011-07-04	762
AHN	2011-07-05	660
AHN	2011-07-06	674
AHN	2011-07-07	650
AHN	2011-07-08	670
AHN	2011-07-09	592
AHN	2011-07-10	638
AHN	2011-07-11	726
AHN	2011-07-12	628
AHN	2011-07-13	626
AHN	2011-07-14	654
AHN	2011-07-15	598
AHN	2011-07-16	544
AHN	2011-07-17	640
AHN	2011-07-18	720
AHN	2011-07-19	604
AHN	2011-07-20	630
AHN	2011-07-21	648
AHN	2011-07-22	686
AHN	2011-07-23	604
AHN	2011-07-24	694
AHN	2011-07-25	764
AHN	2011-07-26	634
AHN	2011-07-27	702
AHN	2011-07-28	640
AHN	2011-07-29	634
AHN	2011-07-30	576
AHN	2011-07-31	622
AHN	2011-08-01	680
AHN	2011-08-02	600
AHN	2011-08-03	590
AHN	2011-08-04	596
AHN	2011-08-05	698
AHN	2011-08-06	578
AHN	2011-08-07	614
AHN	2011-08-08	734
AHN	2011-08-09	660
AHN	2011-08-10	558
AHN	2011-08-11	562
AHN	2011-08-12	618
AHN	2011-08-13	566
AHN	2011-08-14	574
AHN	2011-08-15	804
